,epoch_number,epoch_runtime_s,train_loss,validate_loss,validate_accuracy,batch_size_train,batch_size_validate,learning_rate,pretrained,class_selection,samples_per_class,transformations
0,0,148.29,"tensor(0.3075, device='cuda:0')","tensor(0.1949, device='cuda:0')",,16,16,0.01,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[RandomCrop(size=(1024, 1280), padding=None), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
1,1,123.26,"tensor(0.1972, device='cuda:0')","tensor(0.1797, device='cuda:0')",,16,16,0.01,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[RandomCrop(size=(1024, 1280), padding=None), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
2,2,114.75,"tensor(0.1767, device='cuda:0')","tensor(0.1740, device='cuda:0')",,16,16,0.01,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[RandomCrop(size=(1024, 1280), padding=None), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
3,3,113.96,"tensor(0.1673, device='cuda:0')","tensor(0.2286, device='cuda:0')",,16,16,0.01,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[RandomCrop(size=(1024, 1280), padding=None), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
4,4,110.47,"tensor(0.1958, device='cuda:0')","tensor(0.1589, device='cuda:0')",,16,16,0.01,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[RandomCrop(size=(1024, 1280), padding=None), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
5,5,110.99,"tensor(0.1787, device='cuda:0')","tensor(0.1583, device='cuda:0')",,16,16,0.01,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[RandomCrop(size=(1024, 1280), padding=None), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
6,6,111.91,"tensor(0.1553, device='cuda:0')","tensor(0.1806, device='cuda:0')",,16,16,0.01,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[RandomCrop(size=(1024, 1280), padding=None), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
7,7,108.12,"tensor(0.1473, device='cuda:0')","tensor(0.1527, device='cuda:0')",,16,16,0.01,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[RandomCrop(size=(1024, 1280), padding=None), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
8,8,110.6,"tensor(0.1332, device='cuda:0')","tensor(0.1370, device='cuda:0')",,16,16,0.01,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[RandomCrop(size=(1024, 1280), padding=None), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
9,9,105.89,"tensor(0.1407, device='cuda:0')","tensor(0.1255, device='cuda:0')",,16,16,0.01,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[RandomCrop(size=(1024, 1280), padding=None), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
