epoch_number,epoch_runtime_min,train_loss,validate_loss,validate_accuracy,validate_runtime_min,batch_size_train,batch_size_validate,learning_rate,pretrained,class_selection,samples_per_class,transformations
0,2.53,0.49936115741729736,0.27017906308174133,0.7453337104072398,1.86,64,64,0.01,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[RandomCrop(size=(1024, 1280), padding=None), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
1,2.11,0.20706377923488617,0.18672756850719452,0.8563348416289593,1.57,64,64,0.01,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[RandomCrop(size=(1024, 1280), padding=None), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
2,1.93,0.17310397326946259,0.16836696863174438,0.8696266968325792,1.46,64,64,0.01,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[RandomCrop(size=(1024, 1280), padding=None), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
3,1.85,0.15451477468013763,0.17107714712619781,0.8709700226244345,1.43,64,64,0.01,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[RandomCrop(size=(1024, 1280), padding=None), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
4,1.89,0.14979325234889984,0.1547943651676178,0.8791713800904978,1.49,64,64,0.01,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[RandomCrop(size=(1024, 1280), padding=None), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
5,1.9,0.14651769399642944,0.16777676343917847,0.8682126696832579,1.5,64,64,0.01,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[RandomCrop(size=(1024, 1280), padding=None), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
6,2.51,0.13604113459587097,0.14714281260967255,0.8764140271493213,2.02,64,64,0.01,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[RandomCrop(size=(1024, 1280), padding=None), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
7,2.71,0.1318121999502182,0.1404346227645874,0.8938772624434389,2.11,64,64,0.01,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[RandomCrop(size=(1024, 1280), padding=None), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
,,,,,,64,64,0.01,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[RandomCrop(size=(1024, 1280), padding=None), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
,,,,,,64,64,0.01,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[RandomCrop(size=(1024, 1280), padding=None), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
